# LiteIME built-in starter lexicon v0.1.4-dev
# This is a small redistributable starter lexicon for development and first-run use.
# Professional and larger general-purpose dictionaries can be imported separately.
word	pinyin	weight
复制	fu'zhi	50000
粘贴	zhan'tie	49000
保存	bao'cun	50000
文件	wen'jian	51000
目录	mu'lu	49000
路径	lu'jing	48000
版本	ban'ben	50000
系统	xi'tong	51000
程序	cheng'xu	51000
软件	ruan'jian	50000
硬件	ying'jian	49000
电脑	dian'nao	51000
计算机	ji'suan'ji	53000
计算器	ji'suan'qi	48000
输入法	shu'ru'fa	54000
中文	zhong'wen	52000
英文	ying'wen	51000
汉字	han'zi	50000
拼音	pin'yin	52000
全拼	quan'pin	49000
双拼	shuang'pin	50000
小鹤双拼	xiao'he'shuang'pin	51000
微软双拼	wei'ruan'shuang'pin	47000
自然码双拼	zi'ran'ma'shuang'pin	46000
候选	hou'xuan	50000
候选词	hou'xuan'ci	51000
词库	ci'ku	52000
词频	ci'pin	50000
联想	lian'xiang	48000
符号	fu'hao	50000
标点	biao'dian	49000
快捷键	kuai'jie'jian	49000
键盘	jian'pan	50000
鼠标	shu'biao	48000
窗口	chuang'kou	49000
界面	jie'mian	50000
设置	she'zhi	51000
选项	xuan'xiang	49000
数据	shu'ju	51000
数据库	shu'ju'ku	50000
网络	wang'luo	50000
离线	li'xian	49000
在线	zai'xian	48000
同步	tong'bu	50000
设备	she'bei	50000
手机	shou'ji	51000
平板	ping'ban	47000
苹果	ping'guo	49000
安卓	an'zhuo	49000
Windows	windows	45000
macOS	macos	44000
Android	android	44000
iOS	ios	44000
代码	dai'ma	51000
编程	bian'cheng	50000
工程	gong'cheng	50000
工程师	gong'cheng'shi	49000
项目	xiang'mu	51000
模块	mo'kuai	49000
接口	jie'kou	50000
协议	xie'yi	50000
性能	xing'neng	51000
延迟	yan'chi	50000
内存	nei'cun	50000
进程	jin'cheng	49000
线程	xian'cheng	49000
服务	fu'wu	50000
驱动	qu'dong	50000
固件	gu'jian	49000
芯片	xin'pian	50000
显卡	xian'ka	49000
寄存器	ji'cun'qi	49000
中断	zhong'duan	48000
调试	tiao'shi	50000
日志	ri'zhi	49000
错误	cuo'wu	50000
成功	cheng'gong	51000
失败	shi'bai	50000
异常	yi'chang	49000
检查	jian'cha	50000
验证	yan'zheng	50000
修复	xiu'fu	50000
优化	you'hua	50000
准确	zhun'que	49000
稳定	wen'ding	50000
快速	kuai'su	50000
简单	jian'dan	51000
方便	fang'bian	50000
干净	gan'jing	48000
安全	an'quan	50000
隐私	yin'si	49000
本地	ben'di	50000
用户	yong'hu	51000
个人	ge'ren	49000
账号	zhang'hao	48000
密码	mi'ma	49000
历史	li'shi	48000
最近	zui'jin	49000
收藏	shou'cang	48000
自定义	zi'ding'yi	50000
默认	mo'ren	50000
启用	qi'yong	49000
禁用	jin'yong	48000
导入	dao'ru	50000
导出	dao'chu	49000
下载	xia'zai	50000
上传	shang'chuan	48000
更新	geng'xin	51000
发布	fa'bu	50000
压缩包	ya'suo'bao	49000
安装包	an'zhuang'bao	50000
开发包	kai'fa'bao	48000
文档	wen'dang	50000
说明	shuo'ming	49000
计划	ji'hua	50000
任务	ren'wu	50000
约束	yue'shu	48000
规则	gui'ze	49000
架构	jia'gou	50000
设计	she'ji	50000
需求	xu'qiu	51000
建议	jian'yi	50000
讨论	tao'lun	49000
确认	que'ren	50000
理解	li'jie	50000
知道	zhi'dao	50000
觉得	jue'de	51000
希望	xi'wang	50000
喜欢	xi'huan	49000
不要	bu'yao	52000
没有问题	mei'you'wen'ti	51000
没问题	mei'wen'ti	52000
好的	hao'de	53000
可以的	ke'yi'de	50000
谢谢	xie'xie	51000
不客气	bu'ke'qi	48000
你好	ni'hao	53000
再见	zai'jian	48000
北京	bei'jing	50000
中国	zhong'guo	52000
日本	ri'ben	48000
公司	gong'si	50000
团队	tuan'dui	49000
同事	tong'shi	48000
朋友	peng'you	49000
家人	jia'ren	49000
孩子	hai'zi	49000
爸爸	ba'ba	48000
妈妈	ma'ma	48000
妻子	qi'zi	47000
丈夫	zhang'fu	46000
名字	ming'zi	48000
电话	dian'hua	49000
短信	duan'xin	48000
微信	wei'xin	50000
邮件	you'jian	49000
地址	di'zhi	48000
请	qing	50000
请问	qing'wen	50000
麻烦	ma'fan	49000
帮助	bang'zhu	50000
告诉	gao'su	49000
看看	kan'kan	50000
一下子	yi'xia'zi	45000
今天晚上	jin'tian'wan'shang	47000
明天上午	ming'tian'shang'wu	46000
马上	ma'shang	50000
稍后	shao'hou	48000
以后	yi'hou	50000
之前	zhi'qian	49000
之后	zhi'hou	49000
里面	li'mian	49000
外面	wai'mian	47000
上面	shang'mian	48000
下面	xia'mian	48000
左边	zuo'bian	46000
右边	you'bian	46000
前面	qian'mian	47000
后面	hou'mian	47000
第一	di'yi	50000
第二	di'er	49000
第三	di'san	48000
一步	yi'bu	49000
下一步	xia'yi'bu	50000
这一版	zhe'yi'ban	50000
下一版	xia'yi'ban	50000
继续开发	ji'xu'kai'fa	51000
开始开发	kai'shi'kai'fa	50000
输入中文	shu'ru'zhong'wen	52000
无法输入	wu'fa'shu'ru	49000
不能输入	bu'neng'shu'ru	50000
候选为空	hou'xuan'wei'kong	48000
词库导入	ci'ku'dao'ru	49000
本地词库	ben'di'ci'ku	49000
专业词库	zhuan'ye'ci'ku	48000
常用词	chang'yong'ci	50000
生僻词	sheng'pi'ci	45000
用户词库	yong'hu'ci'ku	50000
跨设备同步	kua'she'bei'tong'bu	48000
剪贴板	jian'tie'ban	49000
开发调试	kai'fa'tiao'shi	49000
Visual Studio	visual'studio	45000
CMake	cmake	45000
TSF	tsf	45000
PCIe	pcie	47000
PCI Express	pci'express	45000
Root Complex	root'complex	43000
Endpoint	endpoint	43000
链路	lian'lu	49000
事务层	shi'wu'ceng	47000
数据链路层	shu'ju'lian'lu'ceng	47000
物理层	wu'li'ceng	47000
输入法核心	shu'ru'fa'he'xin	51000
系统输入法	xi'tong'shu'ru'fa	50000
符号面板	fu'hao'mian'ban	49000
中文标点	zhong'wen'biao'dian	49000
英文标点	ying'wen'biao'dian	48000
程序员模式	cheng'xu'yuan'mo'shi	48000
