# LiteIME built-in symbol table. UTF-8, tab-separated.
symbol	category	name	aliases
↖	箭头符号	左上箭头	左上|zuoshang
↗	箭头符号	右上箭头	右上|youshang
↘	箭头符号	右下箭头	右下|youxia
↙	箭头符号	左下箭头	左下|zuoxia
⇐	箭头符号	左双线箭头	左双箭头|zuoshuang
⇑	箭头符号	上双线箭头	上双箭头|shangshuang
⇒	箭头符号	右双线箭头	右双箭头|youshuang
⇓	箭头符号	下双线箭头	下双箭头|xiashuang
⇧	箭头符号	上移键符号	shift|上移|shangyi
℃	单位符号	摄氏度	摄氏度|sheshidu|celsius|degree
℉	单位符号	华氏度	华氏度|huashidu|fahrenheit
°	单位符号	度	度|du|degree
′	单位符号	分角秒分	分|fen|prime
″	单位符号	秒角秒	秒|miao|doubleprime
㎡	单位符号	平方米	平方米|pingfangmi|squaremeter
㎥	单位符号	立方米	立方米|lifangmi|cubicmeter
㎞	单位符号	千米	千米|qianmi|kilometer
㎏	单位符号	千克	千克|qianke|kilogram
㎜	单位符号	毫米	毫米|haomi|millimeter
㎝	单位符号	厘米	厘米|limi|centimeter
μ	单位符号	微	微|wei|micro
Ω	单位符号	欧姆	欧姆|oumu|ohm
Å	单位符号	埃	埃|angstrom
©	版权商标	版权	版权|banquan|copyright
®	版权商标	注册商标	注册商标|zhuceshangbiao|registered
™	版权商标	商标	商标|shangbiao|trademark
✓	勾选符号	对勾	对勾|duigou|check
✔	勾选符号	粗对勾	对勾|cuduigou|check
☑	勾选符号	勾选框	勾选|gouxuan|checkbox
✕	勾选符号	叉号	叉号|chahao|cross
✖	勾选符号	粗叉号	叉号|cuchahao|cross
○	几何符号	空心圆	圆|yuan|circle
●	几何符号	实心圆	圆点|yuandian|bullet
□	几何符号	空心方块	方块|fangkuai|square
■	几何符号	实心方块	方块|shixinfangkuai
△	几何符号	空心三角	三角|sanjiao|triangle
▲	几何符号	实心上三角	上三角|shangsanjiao
▼	几何符号	实心下三角	下三角|xiasanjiao
◇	几何符号	空心菱形	菱形|lingxing|diamond
◆	几何符号	实心菱形	菱形|shixinlingxing
①	序号符号	圈一	圈一|quanyi|one
②	序号符号	圈二	圈二|quaner|two
③	序号符号	圈三	圈三|quansan|three
④	序号符号	圈四	圈四|quansi|four
⑤	序号符号	圈五	圈五|quanwu|five
⑥	序号符号	圈六	圈六|quanliu|six
⑦	序号符号	圈七	圈七|quanqi|seven
⑧	序号符号	圈八	圈八|quanba|eight
⑨	序号符号	圈九	圈九|quanjiu|nine
⑩	序号符号	圈十	圈十|quanshi|ten
Ⅰ	罗马数字	罗马数字一	罗马一|luomayi
Ⅱ	罗马数字	罗马数字二	罗马二|luomaer
Ⅲ	罗马数字	罗马数字三	罗马三|luomasan
Ⅳ	罗马数字	罗马数字四	罗马四|luomasi
Ⅴ	罗马数字	罗马数字五	罗马五|luomawu
α	希腊字母	阿尔法	阿尔法|aerfa|alpha
β	希腊字母	贝塔	贝塔|beita|beta
γ	希腊字母	伽马	伽马|gama|gamma
δ	希腊字母	德尔塔	德尔塔|deerta|delta
ε	希腊字母	艾普西龙	艾普西龙|epsilon
θ	希腊字母	西塔	西塔|xita|theta
λ	希腊字母	拉姆达	拉姆达|lamuda|lambda
π	希腊字母	派	圆周率|pai|pi
σ	希腊字母	西格玛	西格玛|xigema|sigma
φ	希腊字母	斐	斐|fei|phi
ω	希腊字母	欧米伽	欧米伽|oumiga|omega
┌	制表符号	左上角	框线|左上角|zuoshangjiao
┬	制表符号	上中连接	框线|shangzhong
┐	制表符号	右上角	框线|右上角|youshangjiao
├	制表符号	左中连接	框线|zuozhong
┼	制表符号	十字连接	框线|shizilianjie
┤	制表符号	右中连接	框线|youzhong
└	制表符号	左下角	框线|左下角|zuoxiajiao
┴	制表符号	下中连接	框线|xiazhong
┘	制表符号	右下角	框线|右下角|youxiajiao
